Date,Dawn,Sunrise,Noon,Sunset,Dusk
2020-01-12,07:39:47,08:10:05,12:57:45,17:45:58,18:16:17
2020-01-13,07:39:35,08:09:49,12:58:08,17:47:01,18:17:16
2020-01-14,07:39:20,08:09:31,12:58:31,17:48:05,18:18:17
2020-01-15,07:39:03,08:09:11,12:58:53,17:49:09,18:19:17
2020-01-16,07:38:45,08:08:49,12:59:14,17:50:14,18:20:19
2020-01-17,07:38:24,08:08:25,12:59:35,17:51:20,18:21:21
2020-01-18,07:38:02,08:07:58,12:59:55,17:52:27,18:22:24
2020-01-19,07:37:37,08:07:30,13:00:14,17:53:34,18:23:28
2020-01-20,07:37:10,08:06:59,13:00:33,17:54:42,18:24:31
2020-01-21,07:36:42,08:06:27,13:00:51,17:55:50,18:25:36
2020-01-22,07:36:11,08:05:52,13:01:08,17:56:59,18:26:41
2020-01-23,07:35:38,08:05:16,13:01:24,17:58:08,18:27:46
2020-01-24,07:35:04,08:04:37,13:01:40,17:59:18,18:28:52
2020-01-25,07:34:28,08:03:57,13:01:55,18:00:28,18:29:58
2020-01-26,07:33:49,08:03:14,13:02:09,18:01:38,18:31:04
2020-01-27,07:33:09,08:02:30,13:02:22,18:02:49,18:32:11
2020-01-28,07:32:27,08:01:44,13:02:35,18:04:00,18:33:17
2020-01-29,07:31:44,08:00:56,13:02:47,18:05:11,18:34:24
2020-01-30,07:30:58,08:00:06,13:02:57,18:06:22,18:35:31
2020-01-31,07:30:11,07:59:15,13:03:07,18:07:33,18:36:39
2020-02-01,07:29:22,07:58:22,13:03:17,18:08:45,18:37:46
2020-02-02,07:28:31,07:57:27,13:03:25,18:09:56,18:38:53
2020-02-03,07:27:38,07:56:30,13:03:33,18:11:07,18:40:01
2020-02-04,07:26:44,07:55:32,13:03:39,18:12:19,18:41:08
2020-02-05,07:25:48,07:54:33,13:03:45,18:13:30,18:42:16
2020-02-06,07:24:51,07:53:31,13:03:50,18:14:41,18:43:23
2020-02-07,07:23:52,07:52:28,13:03:55,18:15:53,18:44:30
2020-02-08,07:22:52,07:51:24,13:03:58,18:17:04,18:45:38
2020-02-09,07:21:50,07:50:18,13:04:01,18:18:14,18:46:45
2020-02-10,07:20:46,07:49:11,13:04:03,18:19:25,18:47:52
2020-02-11,07:19:41,07:48:03,13:04:04,18:20:36,18:48:59
2020-02-12,07:18:35,07:46:53,13:04:04,18:21:46,18:50:05
2020-02-13,07:17:27,07:45:41,13:04:04,18:22:56,18:51:12
2020-02-14,07:16:18,07:44:29,13:04:02,18:24:06,18:52:18
2020-02-15,07:15:07,07:43:15,13:04:00,18:25:15,18:53:25
2020-02-16,07:13:55,07:42:00,13:03:58,18:26:25,18:54:31
2020-02-17,07:12:42,07:40:44,13:03:54,18:27:34,18:55:37
2020-02-18,07:11:28,07:39:26,13:03:50,18:28:42,18:56:42
2020-02-19,07:10:13,07:38:08,13:03:45,18:29:51,18:57:48
2020-02-20,07:08:56,07:36:48,13:03:40,18:30:59,18:58:53
2020-02-21,07:07:38,07:35:28,13:03:33,18:32:07,18:59:58
2020-02-22,07:06:19,07:34:06,13:03:27,18:33:14,19:01:03
2020-02-23,07:04:59,07:32:44,13:03:19,18:34:22,19:02:08
2020-02-24,07:03:38,07:31:20,13:03:11,18:35:28,19:03:13
2020-02-25,07:02:16,07:29:56,13:03:02,18:36:35,19:04:17
2020-02-26,07:00:53,07:28:31,13:02:53,18:37:41,19:05:21
2020-02-27,06:59:29,07:27:04,13:02:43,18:38:47,19:06:25
2020-02-28,06:58:04,07:25:38,13:02:32,18:39:53,19:07:29
2020-02-29,06:56:39,07:24:10,13:02:21,18:40:58,19:08:32
2020-03-01,06:55:12,07:22:42,13:02:10,18:42:03,19:09:35
2020-03-02,06:53:45,07:21:13,13:01:58,18:43:08,19:10:39
2020-03-03,06:52:16,07:19:43,13:01:45,18:44:12,19:11:42
2020-03-04,06:50:48,07:18:13,13:01:32,18:45:17,19:12:44
2020-03-05,06:49:18,07:16:42,13:01:19,18:46:21,19:13:47
2020-03-06,06:47:48,07:15:10,13:01:05,18:47:24,19:14:50
2020-03-07,06:46:17,07:13:38,13:00:50,18:48:27,19:15:52
2020-03-08,06:44:45,07:12:06,13:00:36,18:49:30,19:16:54
2020-03-09,06:43:13,07:10:33,13:00:21,18:50:33,19:17:56
2020-03-10,06:41:40,07:08:59,13:00:05,18:51:36,19:18:58
2020-03-11,06:40:07,07:07:25,12:59:50,18:52:38,19:20:00
2020-03-12,06:38:33,07:05:51,12:59:34,18:53:40,19:21:02
2020-03-13,06:36:59,07:04:17,12:59:17,18:54:42,19:22:04
2020-03-14,06:35:24,07:02:42,12:59:01,18:55:44,19:23:05
2020-03-15,06:33:49,07:01:07,12:58:44,18:56:45,19:24:07
2020-03-16,06:32:13,06:59:31,12:58:27,18:57:47,19:25:08
2020-03-17,06:30:38,06:57:56,12:58:10,18:58:48,19:26:10
2020-03-18,06:29:01,06:56:20,12:57:52,18:59:49,19:27:11
2020-03-19,06:27:25,06:54:44,12:57:35,19:00:50,19:28:12
2020-03-20,06:25:48,06:53:08,12:57:17,19:01:50,19:29:14
2020-03-21,06:24:11,06:51:32,12:56:59,19:02:51,19:30:15
2020-03-22,06:22:34,06:49:56,12:56:41,19:03:51,19:31:17
2020-03-23,06:20:57,06:48:20,12:56:23,19:04:51,19:32:18
2020-03-24,06:19:20,06:46:43,12:56:05,19:05:52,19:33:19
2020-03-25,06:17:42,06:45:07,12:55:47,19:06:52,19:34:21
2020-03-26,06:16:05,06:43:31,12:55:29,19:07:52,19:35:22
2020-03-27,06:14:27,06:41:55,12:55:11,19:08:52,19:36:24
2020-03-28,06:12:49,06:40:19,12:54:53,19:09:51,19:37:26
2020-03-29,06:11:12,06:38:43,12:54:35,19:10:51,19:38:27
2020-03-30,06:09:34,06:37:08,12:54:17,19:11:51,19:39:29
2020-03-31,06:07:57,06:35:32,12:53:59,19:12:51,19:40:31
2020-04-01,06:06:19,06:33:57,12:53:41,19:13:50,19:41:33
2020-04-02,06:04:42,06:32:22,12:53:23,19:14:50,19:42:35
2020-04-03,06:03:05,06:30:48,12:53:06,19:15:50,19:43:37
2020-04-04,06:01:28,06:29:13,12:52:48,19:16:49,19:44:40
2020-04-05,05:59:51,06:27:40,12:52:31,19:17:49,19:45:42
2020-04-06,05:58:15,06:26:06,12:52:14,19:18:48,19:46:45
2020-04-07,05:56:39,06:24:33,12:51:57,19:19:48,19:47:48
2020-04-08,05:55:03,06:23:00,12:51:41,19:20:48,19:48:50
2020-04-09,05:53:28,06:21:28,12:51:24,19:21:47,19:49:53
2020-04-10,05:51:52,06:19:56,12:51:08,19:22:47,19:50:56
2020-04-11,05:50:18,06:18:25,12:50:52,19:23:47,19:52:00
2020-04-12,05:48:44,06:16:55,12:50:37,19:24:46,19:53:03
2020-04-13,05:47:10,06:15:25,12:50:21,19:25:46,19:54:07
2020-04-14,05:45:37,06:13:55,12:50:07,19:26:46,19:55:10
2020-04-15,05:44:04,06:12:27,12:49:52,19:27:46,19:56:14
2020-04-16,05:42:32,06:10:59,12:49:38,19:28:46,19:57:18
2020-04-17,05:41:01,06:09:31,12:49:24,19:29:45,19:58:22
2020-04-18,05:39:30,06:08:05,12:49:10,19:30:45,19:59:26
2020-04-19,05:38:00,06:06:39,12:48:57,19:31:45,20:00:31
2020-04-20,05:36:30,06:05:14,12:48:45,19:32:45,20:01:35
2020-04-21,05:35:01,06:03:50,12:48:32,19:33:45,20:02:40
2020-04-22,05:33:33,06:02:27,12:48:21,19:34:45,20:03:44
2020-04-23,05:32:06,06:01:05,12:48:09,19:35:45,20:04:49
2020-04-24,05:30:40,05:59:43,12:47:58,19:36:45,20:05:54
2020-04-25,05:29:15,05:58:23,12:47:48,19:37:44,20:06:59
2020-04-26,05:27:50,05:57:03,12:47:38,19:38:44,20:08:04
2020-04-27,05:26:27,05:55:45,12:47:29,19:39:44,20:09:09
2020-04-28,05:25:04,05:54:27,12:47:20,19:40:44,20:10:14
2020-04-29,05:23:43,05:53:11,12:47:11,19:41:43,20:11:19
2020-04-30,05:22:22,05:51:56,12:47:04,19:42:43,20:12:24
2020-05-01,05:21:03,05:50:42,12:46:56,19:43:42,20:13:28
2020-05-02,05:19:44,05:49:29,12:46:49,19:44:42,20:14:33
2020-05-03,05:18:27,05:48:18,12:46:43,19:45:41,20:15:38
2020-05-04,05:17:11,05:47:07,12:46:37,19:46:40,20:16:43
2020-05-05,05:15:57,05:45:58,12:46:32,19:47:39,20:17:47
2020-05-06,05:14:43,05:44:50,12:46:28,19:48:38,20:18:51
2020-05-07,05:13:31,05:43:44,12:46:24,19:49:36,20:19:56
2020-05-08,05:12:20,05:42:39,12:46:20,19:50:34,20:20:59
2020-05-09,05:11:11,05:41:35,12:46:17,19:51:32,20:22:03
2020-05-10,05:10:03,05:40:33,12:46:15,19:52:30,20:23:06
2020-05-11,05:08:56,05:39:32,12:46:13,19:53:27,20:24:09
2020-05-12,05:07:51,05:38:33,12:46:12,19:54:24,20:25:12
2020-05-13,05:06:47,05:37:35,12:46:11,19:55:20,20:26:14
2020-05-14,05:05:45,05:36:38,12:46:11,19:56:17,20:27:16
2020-05-15,05:04:45,05:35:44,12:46:12,19:57:12,20:28:18
2020-05-16,05:03:46,05:34:51,12:46:13,19:58:08,20:29:18
2020-05-17,05:02:49,05:33:59,12:46:14,19:59:02,20:30:19
2020-05-18,05:01:53,05:33:09,12:46:16,19:59:56,20:31:19
2020-05-19,05:00:59,05:32:21,12:46:19,20:00:50,20:32:18
2020-05-20,05:00:07,05:31:34,12:46:22,20:01:43,20:33:16
2020-05-21,04:59:17,05:30:49,12:46:26,20:02:35,20:34:14
2020-05-22,04:58:28,05:30:06,12:46:31,20:03:27,20:35:11
2020-05-23,04:57:41,05:29:25,12:46:35,20:04:18,20:36:07
2020-05-24,04:56:57,05:28:45,12:46:41,20:05:08,20:37:02
2020-05-25,04:56:14,05:28:07,12:46:47,20:05:57,20:37:56
2020-05-26,04:55:32,05:27:31,12:46:53,20:06:45,20:38:50
2020-05-27,04:54:53,05:26:57,12:47:00,20:07:33,20:39:42
2020-05-28,04:54:16,05:26:25,12:47:07,20:08:19,20:40:33
2020-05-29,04:53:41,05:25:54,12:47:15,20:09:05,20:41:23
2020-05-30,04:53:08,05:25:25,12:47:23,20:09:50,20:42:12
2020-05-31,04:52:36,05:24:59,12:47:32,20:10:33,20:43:00
2020-06-01,04:52:07,05:24:34,12:47:41,20:11:16,20:43:47
2020-06-02,04:51:40,05:24:11,12:47:50,20:11:57,20:44:32
2020-06-03,04:51:15,05:23:50,12:48:00,20:12:37,20:45:16
2020-06-04,04:50:52,05:23:30,12:48:10,20:13:16,20:45:58
2020-06-05,04:50:31,05:23:13,12:48:21,20:13:53,20:46:39
2020-06-06,04:50:12,05:22:58,12:48:32,20:14:30,20:47:19
2020-06-07,04:49:55,05:22:44,12:48:43,20:15:05,20:47:57
2020-06-08,04:49:41,05:22:33,12:48:54,20:15:38,20:48:33
2020-06-09,04:49:28,05:22:23,12:49:06,20:16:10,20:49:08
2020-06-10,04:49:18,05:22:15,12:49:18,20:16:41,20:49:41
2020-06-11,04:49:09,05:22:09,12:49:30,20:17:10,20:50:13
2020-06-12,04:49:03,05:22:05,12:49:42,20:17:38,20:50:42
2020-06-13,04:48:59,05:22:03,12:49:54,20:18:04,20:51:10
2020-06-14,04:48:57,05:22:03,12:50:07,20:18:29,20:51:36
2020-06-15,04:48:57,05:22:05,12:50:20,20:18:51,20:52:00
2020-06-16,04:49:00,05:22:08,12:50:33,20:19:13,20:52:23
2020-06-17,04:49:04,05:22:14,12:50:46,20:19:32,20:52:43
2020-06-18,04:49:10,05:22:21,12:50:59,20:19:50,20:53:01
2020-06-19,04:49:19,05:22:30,12:51:12,20:20:06,20:53:18
2020-06-20,04:49:29,05:22:41,12:51:25,20:20:20,20:53:32
2020-06-21,04:49:41,05:22:53,12:51:38,20:20:33,20:53:44
2020-06-22,04:49:56,05:23:07,12:51:51,20:20:43,20:53:55
2020-06-23,04:50:12,05:23:23,12:52:04,20:20:52,20:54:03
2020-06-24,04:50:30,05:23:41,12:52:17,20:20:59,20:54:09
2020-06-25,04:50:50,05:24:00,12:52:30,20:21:04,20:54:13
2020-06-26,04:51:12,05:24:21,12:52:42,20:21:07,20:54:15
2020-06-27,04:51:36,05:24:44,12:52:55,20:21:09,20:54:15
2020-06-28,04:52:02,05:25:08,12:53:07,20:21:08,20:54:12
2020-06-29,04:52:29,05:25:33,12:53:19,20:21:06,20:54:08
2020-06-30,04:52:58,05:26:01,12:53:31,20:21:01,20:54:01
2020-07-01,04:53:29,05:26:29,12:53:43,20:20:55,20:53:52
2020-07-02,04:54:01,05:26:59,12:53:54,20:20:46,20:53:41
2020-07-03,04:54:35,05:27:30,12:54:05,20:20:36,20:53:28
2020-07-04,04:55:11,05:28:03,12:54:16,20:20:24,20:53:13
2020-07-05,04:55:48,05:28:37,12:54:27,20:20:09,20:52:55
2020-07-06,04:56:26,05:29:12,12:54:37,20:19:53,20:52:35
2020-07-07,04:57:06,05:29:49,12:54:47,20:19:35,20:52:14
2020-07-08,04:57:48,05:30:26,12:54:56,20:19:15,20:51:50
2020-07-09,04:58:30,05:31:05,12:55:05,20:18:53,20:51:24
2020-07-10,04:59:14,05:31:45,12:55:14,20:18:29,20:50:56
2020-07-11,04:59:59,05:32:26,12:55:22,20:18:03,20:50:25
2020-07-12,05:00:45,05:33:08,12:55:29,20:17:35,20:49:53
2020-07-13,05:01:33,05:33:51,12:55:37,20:17:05,20:49:19
2020-07-14,05:02:21,05:34:35,12:55:43,20:16:34,20:48:43
2020-07-15,05:03:11,05:35:20,12:55:50,20:16:00,20:48:04
2020-07-16,05:04:01,05:36:06,12:55:55,20:15:25,20:47:24
2020-07-17,05:04:53,05:36:52,12:56:01,20:14:48,20:46:42
2020-07-18,05:05:45,05:37:39,12:56:05,20:14:09,20:45:58
2020-07-19,05:06:38,05:38:28,12:56:10,20:13:28,20:45:11
2020-07-20,05:07:32,05:39:16,12:56:13,20:12:45,20:44:24
2020-07-21,05:08:27,05:40:06,12:56:16,20:12:01,20:43:34
2020-07-22,05:09:22,05:40:56,12:56:19,20:11:14,20:42:42
2020-07-23,05:10:18,05:41:46,12:56:21,20:10:27,20:41:49
2020-07-24,05:11:15,05:42:37,12:56:22,20:09:37,20:40:54
2020-07-25,05:12:12,05:43:29,12:56:23,20:08:46,20:39:57
2020-07-26,05:13:09,05:44:21,12:56:23,20:07:53,20:38:58
2020-07-27,05:14:08,05:45:14,12:56:22,20:06:58,20:37:58
2020-07-28,05:15:06,05:46:07,12:56:21,20:06:02,20:36:56
2020-07-29,05:16:05,05:47:00,12:56:20,20:05:04,20:35:53
2020-07-30,05:17:05,05:47:54,12:56:17,20:04:05,20:34:48
2020-07-31,05:18:05,05:48:48,12:56:14,20:03:04,20:33:41
2020-08-01,05:19:05,05:49:42,12:56:11,20:02:02,20:32:33
2020-08-02,05:20:05,05:50:37,12:56:07,20:00:58,20:31:24
2020-08-03,05:21:05,05:51:32,12:56:02,19:59:53,20:30:13
2020-08-04,05:22:06,05:52:27,12:55:57,19:58:47,20:29:01
2020-08-05,05:23:07,05:53:22,12:55:51,19:57:39,20:27:47
2020-08-06,05:24:08,05:54:18,12:55:44,19:56:29,20:26:32
2020-08-07,05:25:09,05:55:13,12:55:37,19:55:19,20:25:16
2020-08-08,05:26:10,05:56:09,12:55:30,19:54:07,20:23:59
2020-08-09,05:27:12,05:57:05,12:55:21,19:52:54,20:22:40
2020-08-10,05:28:13,05:58:01,12:55:13,19:51:39,20:21:20
2020-08-11,05:29:14,05:58:57,12:55:03,19:50:24,20:19:59
2020-08-12,05:30:16,05:59:53,12:54:53,19:49:07,20:18:37
2020-08-13,05:31:17,06:00:49,12:54:43,19:47:49,20:17:14
2020-08-14,05:32:19,06:01:45,12:54:31,19:46:30,20:15:50
2020-08-15,05:33:20,06:02:41,12:54:20,19:45:10,20:14:25
2020-08-16,05:34:21,06:03:37,12:54:08,19:43:49,20:12:59
2020-08-17,05:35:22,06:04:33,12:53:55,19:42:27,20:11:32
2020-08-18,05:36:23,06:05:29,12:53:42,19:41:04,20:10:04
2020-08-19,05:37:24,06:06:25,12:53:28,19:39:40,20:08:36
2020-08-20,05:38:25,06:07:21,12:53:14,19:38:15,20:07:06
2020-08-21,05:39:25,06:08:18,12:52:59,19:36:50,20:05:36
2020-08-22,05:40:26,06:09:13,12:52:44,19:35:23,20:04:05
2020-08-23,05:41:26,06:10:09,12:52:29,19:33:56,20:02:33
2020-08-24,05:42:26,06:11:05,12:52:13,19:32:27,20:01:00
2020-08-25,05:43:27,06:12:01,12:51:56,19:30:58,19:59:27
2020-08-26,05:44:26,06:12:57,12:51:40,19:29:29,19:57:53
2020-08-27,05:45:26,06:13:53,12:51:23,19:27:58,19:56:19
2020-08-28,05:46:26,06:14:48,12:51:05,19:26:27,19:54:44
2020-08-29,05:47:25,06:15:44,12:50:47,19:24:56,19:53:09
2020-08-30,05:48:24,06:16:39,12:50:29,19:23:23,19:51:33
2020-08-31,05:49:24,06:17:35,12:50:10,19:21:50,19:49:56
2020-09-01,05:50:22,06:18:30,12:49:51,19:20:17,19:48:19
2020-09-02,05:51:21,06:19:26,12:49:32,19:18:43,19:46:42
2020-09-03,05:52:20,06:20:21,12:49:13,19:17:09,19:45:05
2020-09-04,05:53:18,06:21:17,12:48:53,19:15:34,19:43:27
2020-09-05,05:54:17,06:22:12,12:48:33,19:13:58,19:41:48
2020-09-06,05:55:15,06:23:07,12:48:13,19:12:23,19:40:10
2020-09-07,05:56:13,06:24:02,12:47:53,19:10:46,19:38:31
2020-09-08,05:57:11,06:24:58,12:47:32,19:09:10,19:36:52
2020-09-09,05:58:08,06:25:53,12:47:11,19:07:33,19:35:13
2020-09-10,05:59:06,06:26:48,12:46:51,19:05:56,19:33:34
2020-09-11,06:00:04,06:27:43,12:46:30,19:04:19,19:31:54
2020-09-12,06:01:01,06:28:39,12:46:08,19:02:41,19:30:14
2020-09-13,06:01:58,06:29:34,12:45:47,19:01:04,19:28:35
2020-09-14,06:02:55,06:30:29,12:45:26,18:59:26,19:26:55
2020-09-15,06:03:53,06:31:25,12:45:05,18:57:48,19:25:15
2020-09-16,06:04:50,06:32:20,12:44:43,18:56:09,19:23:36
2020-09-17,06:05:47,06:33:16,12:44:22,18:54:31,19:21:56
2020-09-18,06:06:44,06:34:11,12:44:00,18:52:53,19:20:16
2020-09-19,06:07:41,06:35:07,12:43:39,18:51:15,19:18:37
2020-09-20,06:08:37,06:36:03,12:43:18,18:49:36,19:16:58
2020-09-21,06:09:34,06:36:59,12:42:56,18:47:58,19:15:18
2020-09-22,06:10:31,06:37:55,12:42:35,18:46:20,19:13:39
2020-09-23,06:11:28,06:38:51,12:42:14,18:44:42,19:12:01
2020-09-24,06:12:25,06:39:47,12:41:53,18:43:04,19:10:22
2020-09-25,06:13:22,06:40:43,12:41:32,18:41:26,19:08:44
2020-09-26,06:14:19,06:41:40,12:41:11,18:39:48,19:07:06
2020-09-27,06:15:16,06:42:37,12:40:51,18:38:11,19:05:28
2020-09-28,06:16:13,06:43:34,12:40:31,18:36:33,19:03:51
2020-09-29,06:17:10,06:44:31,12:40:10,18:34:56,19:02:14
2020-09-30,06:18:07,06:45:28,12:39:51,18:33:20,19:00:38
2020-10-01,06:19:04,06:46:26,12:39:31,18:31:43,18:59:02
2020-10-02,06:20:02,06:47:24,12:39:12,18:30:07,18:57:26
2020-10-03,06:20:59,06:48:22,12:38:53,18:28:32,18:55:51
2020-10-04,06:21:57,06:49:20,12:38:34,18:26:56,18:54:17
2020-10-05,06:22:54,06:50:19,12:38:16,18:25:22,18:52:43
2020-10-06,06:23:52,06:51:17,12:37:58,18:23:47,18:51:10
2020-10-07,06:24:50,06:52:17,12:37:40,18:22:14,18:49:37
2020-10-08,06:25:48,06:53:16,12:37:23,18:20:41,18:48:05
2020-10-09,06:26:47,06:54:16,12:37:06,18:19:08,18:46:34
2020-10-10,06:27:45,06:55:16,12:36:50,18:17:36,18:45:04
2020-10-11,06:28:44,06:56:16,12:36:34,18:16:05,18:43:34
2020-10-12,06:29:43,06:57:17,12:36:19,18:14:34,18:42:05
2020-10-13,06:30:42,06:58:17,12:36:04,18:13:04,18:40:37
2020-10-14,06:31:42,06:59:19,12:35:50,18:11:35,18:39:10
2020-10-15,06:32:41,07:00:20,12:35:36,18:10:06,18:37:43
2020-10-16,06:33:41,07:01:22,12:35:23,18:08:39,18:36:18
2020-10-17,06:34:41,07:02:24,12:35:10,18:07:12,18:34:53
2020-10-18,06:35:41,07:03:27,12:34:58,18:05:46,18:33:30
2020-10-19,06:36:42,07:04:30,12:34:47,18:04:21,18:32:07
2020-10-20,06:37:42,07:05:33,12:34:36,18:02:57,18:30:46
2020-10-21,06:38:43,07:06:37,12:34:26,18:01:34,18:29:26
2020-10-22,06:39:45,07:07:41,12:34:16,18:00:12,18:28:07
2020-10-23,06:40:46,07:08:45,12:34:08,17:58:51,18:26:48
2020-10-24,06:41:48,07:09:50,12:34:00,17:57:31,18:25:32
2020-10-25,06:42:50,07:10:55,12:33:52,17:56:13,18:24:16
2020-10-26,06:43:52,07:12:00,12:33:46,17:54:55,18:23:02
2020-10-27,06:44:54,07:13:06,12:33:40,17:53:39,18:21:48
2020-10-28,06:45:57,07:14:11,12:33:35,17:52:24,18:20:37
2020-10-29,06:47:00,07:15:18,12:33:30,17:51:10,18:19:26
2020-10-30,06:48:03,07:16:24,12:33:27,17:49:57,18:18:17
2020-10-31,06:49:06,07:17:31,12:33:24,17:48:46,18:17:10
2020-11-01,06:50:09,07:18:38,12:33:22,17:47:36,18:16:03
2020-11-02,06:51:13,07:19:45,12:33:21,17:46:28,18:14:59
2020-11-03,06:52:16,07:20:52,12:33:21,17:45:21,18:13:55
2020-11-04,06:53:20,07:22:00,12:33:21,17:44:15,18:12:54
2020-11-05,06:54:24,07:23:08,12:33:23,17:43:11,18:11:53
2020-11-06,06:55:28,07:24:16,12:33:25,17:42:09,18:10:55
2020-11-07,06:56:33,07:25:24,12:33:28,17:41:08,18:09:58
2020-11-08,06:57:37,07:26:32,12:33:32,17:40:09,18:09:03
2020-11-09,06:58:41,07:27:40,12:33:37,17:39:11,18:08:09
2020-11-10,06:59:45,07:28:48,12:33:42,17:38:15,18:07:17
2020-11-11,07:00:50,07:29:57,12:33:49,17:37:21,18:06:27
2020-11-12,07:01:54,07:31:05,12:33:56,17:36:29,18:05:39
2020-11-13,07:02:58,07:32:13,12:34:04,17:35:38,18:04:52
2020-11-14,07:04:02,07:33:21,12:34:13,17:34:49,18:04:07
2020-11-15,07:05:06,07:34:29,12:34:23,17:34:02,18:03:24
2020-11-16,07:06:10,07:35:37,12:34:34,17:33:17,18:02:43
2020-11-17,07:07:14,07:36:45,12:34:46,17:32:34,18:02:04
2020-11-18,07:08:17,07:37:52,12:34:58,17:31:52,18:01:27
2020-11-19,07:09:20,07:38:59,12:35:11,17:31:13,18:00:52
2020-11-20,07:10:23,07:40:06,12:35:25,17:30:36,18:00:18
2020-11-21,07:11:25,07:41:12,12:35:40,17:30:00,17:59:47
2020-11-22,07:12:27,07:42:18,12:35:56,17:29:27,17:59:17
2020-11-23,07:13:29,07:43:24,12:36:13,17:28:56,17:58:50
2020-11-24,07:14:30,07:44:29,12:36:30,17:28:26,17:58:24
2020-11-25,07:15:31,07:45:33,12:36:48,17:27:59,17:58:01
2020-11-26,07:16:31,07:46:37,12:37:07,17:27:34,17:57:40
2020-11-27,07:17:31,07:47:40,12:37:26,17:27:11,17:57:20
2020-11-28,07:18:30,07:48:43,12:37:46,17:26:51,17:57:03
2020-11-29,07:19:28,07:49:44,12:38:07,17:26:32,17:56:48
2020-11-30,07:20:25,07:50:45,12:38:29,17:26:16,17:56:35
2020-12-01,07:21:22,07:51:45,12:38:51,17:26:02,17:56:24
2020-12-02,07:22:18,07:52:44,12:39:14,17:25:50,17:56:15
2020-12-03,07:23:13,07:53:42,12:39:38,17:25:40,17:56:08
2020-12-04,07:24:07,07:54:39,12:40:02,17:25:32,17:56:04
2020-12-05,07:25:00,07:55:34,12:40:26,17:25:27,17:56:01
2020-12-06,07:25:52,07:56:29,12:40:51,17:25:24,17:56:01
2020-12-07,07:26:43,07:57:22,12:41:17,17:25:23,17:56:02
2020-12-08,07:27:33,07:58:14,12:41:43,17:25:24,17:56:06
2020-12-09,07:28:21,07:59:05,12:42:10,17:25:28,17:56:11
2020-12-10,07:29:09,07:59:55,12:42:37,17:25:34,17:56:19
2020-12-11,07:29:55,08:00:42,12:43:04,17:25:42,17:56:29
2020-12-12,07:30:40,08:01:29,12:43:32,17:25:52,17:56:41
2020-12-13,07:31:23,08:02:14,12:44:00,17:26:04,17:56:55
2020-12-14,07:32:05,08:02:57,12:44:29,17:26:19,17:57:11
2020-12-15,07:32:46,08:03:39,12:44:58,17:26:35,17:57:28
2020-12-16,07:33:25,08:04:19,12:45:27,17:26:54,17:57:48
2020-12-17,07:34:02,08:04:57,12:45:56,17:27:15,17:58:10
2020-12-18,07:34:38,08:05:34,12:46:25,17:27:38,17:58:34
2020-12-19,07:35:13,08:06:09,12:46:55,17:28:03,17:58:59
2020-12-20,07:35:45,08:06:42,12:47:24,17:28:30,17:59:27
2020-12-21,07:36:16,08:07:13,12:47:54,17:28:59,17:59:56
2020-12-22,07:36:46,08:07:42,12:48:24,17:29:30,18:00:27
2020-12-23,07:37:13,08:08:09,12:48:54,17:30:03,18:01:00
2020-12-24,07:37:39,08:08:35,12:49:23,17:30:38,18:01:34
2020-12-25,07:38:03,08:08:58,12:49:53,17:31:15,18:02:10
2020-12-26,07:38:25,08:09:19,12:50:23,17:31:54,18:02:48
2020-12-27,07:38:45,08:09:38,12:50:52,17:32:34,18:03:28
2020-12-28,07:39:03,08:09:55,12:51:21,17:33:16,18:04:09
2020-12-29,07:39:20,08:10:10,12:51:50,17:34:00,18:04:51
2020-12-30,07:39:34,08:10:23,12:52:19,17:34:46,18:05:35
2020-12-31,07:39:47,08:10:34,12:52:48,17:35:33,18:06:21
2021-01-01,07:39:57,08:10:43,12:53:17,17:36:22,18:07:08
2021-01-02,07:40:05,08:10:49,12:53:45,17:37:12,18:07:56
2021-01-03,07:40:12,08:10:53,12:54:12,17:38:04,18:08:45
2021-01-04,07:40:16,08:10:55,12:54:40,17:38:57,18:09:36
2021-01-05,07:40:19,08:10:55,12:55:07,17:39:51,18:10:28
2021-01-06,07:40:19,08:10:53,12:55:33,17:40:47,18:11:21
2021-01-07,07:40:17,08:10:49,12:55:59,17:41:44,18:12:15
2021-01-08,07:40:13,08:10:42,12:56:25,17:42:42,18:13:11
2021-01-09,07:40:08,08:10:33,12:56:50,17:43:41,18:14:07
2021-01-10,07:40:00,08:10:22,12:57:15,17:44:42,18:15:04
2021-01-11,07:39:50,08:10:09,12:57:39,17:45:43,18:16:03
2021-01-12,07:39:38,08:09:54,12:58:02,17:46:46,18:17:02
2021-01-13,07:39:24,08:09:36,12:58:25,17:47:49,18:18:02
2021-01-14,07:39:08,08:09:16,12:58:47,17:48:53,18:19:02
2021-01-15,07:38:50,08:08:55,12:59:09,17:49:58,18:20:04
2021-01-16,07:38:29,08:08:31,12:59:30,17:51:04,18:21:06
2021-01-17,07:38:07,08:08:05,12:59:50,17:52:10,18:22:09
2021-01-18,07:37:43,08:07:37,13:00:10,17:53:17,18:23:12
2021-01-19,07:37:17,08:07:07,13:00:28,17:54:25,18:24:16
2021-01-20,07:36:49,08:06:35,13:00:47,17:55:33,18:25:20
2021-01-21,07:36:19,08:06:01,13:01:04,17:56:42,18:26:25
2021-01-22,07:35:47,08:05:25,13:01:20,17:57:51,18:27:30
